id,title,categoryId,answer
q1,프로세스와 스레드의 차이는 무엇인가요?,"OS","프로세스와 스레드는 모두 프로그램의 실행 단위를 가리키지만,  
**프로세스**는 운영체제에서 실행 중인 하나의 독립된 프로그램을 의미하며 고유한 메모리 공간을 할당받습니다.  
반면 **스레드**는 그 프로세스 내부에서 실행되는 흐름의 단위로, 프로세스가 할당받은 메모리 공간(code, data, heap 등)을 다른 스레드와 공유하고 **stack**만 별도로 갖습니다.

---

### 간단히 말하면:

- **프로세스**: 프로그램의 **독립 실행 단위**  
- **스레드**: 프로세스 내의 **작업 흐름(분기) 단위**

---

- 한 프로세스는 기본적으로 하나의 메인 스레드를 가지지만, 멀티스레딩을 통해 여러 스레드를 가질 수 있습니다.  
- 여러 스레드는 동일 프로세스 자원을 공유하므로 **문맥 교환(context switch)** 시 메모리 복사가 필요 없고 통신이 빠릅니다.  
- 반면 프로세스 간에는 메모리가 격리되어 있어 안정적이지만, **프로세스 간 통신**(IPC)은 상대적으로 복잡합니다."
q2,멀티프로세스로도 가능한 작업을 굳이 멀티스레드로 하는 이유는?,OS,"멀티프로세스로도 처리할 수 있지만, 멀티스레드를 사용하는 데에는 다음과 같은 **효율상의 장점**이 있습니다:

---

1. **시스템 호출 비용 감소**  
   새로운 프로세스를 생성하는 것보다 스레드 생성이 훨씬 가볍고 빠릅니다.

2. **자원 공유가 쉬움**  
   스레드는 동일 프로세스 내에서 자원을 공유하므로, **IPC보다 스레드 간 통신이 효율적**입니다.

3. **컨텍스트 스위칭 오버헤드 감소**  
   스레드는 프로세스 간 전환보다 메모리 복사나 전환 비용이 적어 빠르게 전환할 수 있습니다.

---

하지만 다음과 같은 단점도 존재합니다:

- 스레드끼리 자원을 공유하므로 **동기화(synchronization)** 문제가 발생할 수 있습니다.  
- 동기화 처리를 잘못하면 데드락이나 경쟁 조건(race condition)이 생길 수 있습니다.

---

따라서

- **CPU 활용 극대화**, **빠른 통신**, **자원 효율**이 중요할 때 → 멀티스레드  
- **격리된 작업 처리**, **안정성**이 중요할 때 → 멀티프로세스"
q3,교착상태(Deadlock)란 무엇이며 발생 조건은 무엇인가요?,OS,"**교착상태(Deadlock)**란 둘 이상의 프로세스가 서로 **자원이 잠긴 채** 기다리며  
**아무것도 진행하지 못하는 상태**를 말합니다.

예를 들어, 프로세스 A와 B가 서로 상대방이 가진 자원을 필요로 하여  
무한 대기에 빠지면 교착상태가 발생합니다.

---

### 교착상태 발생 조건 (Coffman의 조건)

1. **상호 배제 (Mutual Exclusion)**  
   자원은 한 번에 한 프로세스만 사용할 수 있어야 함

2. **점유 대기 (Hold and Wait)**  
   자원을 점유한 채로 다른 자원을 기다리는 상태

3. **비선점 (No Preemption)**  
   점유한 자원을 강제로 뺏을 수 없음

4. **환형 대기 (Circular Wait)**  
   프로세스들이 원형으로 자원을 점유하고 기다림

---

이 중 하나라도 제거하면 교착상태를 예방할 수 있습니다."
q4,교착상태를 해결하거나 예방하는 방법은 무엇인가요?,OS,"교착상태를 해결하거나 예방하는 방법에는 **네 가지 전략**이 있습니다:

---

### 1. 예방 (Prevention)

- 교착 상태의 4가지 조건 중 하나를 **사전에 제거**하여 방지  
- 예: 자원을 항상 정해진 순서대로 할당 → **환형 대기 방지**

---

### 2. 회피 (Avoidance)

- 시스템 상태를 계산해서 **위험한 자원 할당은 피함**  
- 대표적인 예: **은행원 알고리즘**

---

### 3. 발견 (Detection)

- 교착상태가 발생하더라도 시스템이 이를 **탐지**하고  
- 자원 할당 그래프 등을 분석해 연루된 프로세스를 식별

---

### 4. 회복 (Recovery)

- 교착상태를 발견한 후 **프로세스를 종료하거나 자원을 강제로 회수**  
- 예: 우선순위가 낮은 프로세스를 강제로 종료

---

> 현실 시스템에서는 성능과 복잡도 때문에  
> 예방보다는 **탐지 + 회복** 방식을 많이 사용합니다."
q5,내부 단편화와 외부 단편화는 무엇인가요?,OS,"메모리 **단편화(fragmentation)**는 메모리 공간이 잘게 나뉘어 사용되면서 효율이 떨어지는 현상을 말하며, **내부 단편화**와 **외부 단편화**로 구분됩니다. 
- **외부 단편화**는 **메모리의 빈 공간들의 총합은 충분하지만**, 그 조각들이 나뉘어 있어 실제로 필요한 한 contiguous(연속된) 블록을 할당할 수 없는 상태를 말합니다&#8203;:contentReference[oaicite:10]{index=10}. 예를 들어 100MB의 메모리 중 군데군데 빈 공간을 합치면 30MB가 되지만, 모두 잘게 쪼개져 있어 30MB 짜리 연속 공간이 없으면 30MB 프로그램을 올릴 수 없는 경우입니다.
- **내부 단편화**는 프로세스가 메모리를 할당받을 때 실제 필요 크기보다 **더 큰 공간이 할당**되어, 사용되지 않고 낭비되는 내부 빈 공간이 생기는 현상입니다&#8203;:contentReference[oaicite:11]{index=11}. 예를 들어 100바이트가 필요한 프로세스가 정해진 블록 크기 128바이트를 할당받으면 28바이트는 쓰이지 않는데, 이처럼 할당된 내부에 남는 공간이 내부 단편화입니다.

외부 단편화는 **메모리 압축(compaction)**이나 페이징 기법 등을 통해 완화할 수 있고, 내부 단편화는 블록 크기를 줄이거나 가변 할당 전략 등으로 개선합니다."
q6,페이징(Paging)과 세그멘테이션(Segmentation)의 차이는 무엇인가요?,OS,"**페이징(paging)**과 **세그멘테이션(segmentation)**은 가상 메모리 관리 기법이지만 방식이 다릅니다:
- **페이징**: 고정 크기의 **페이지(page)** 단위로 메모리를 나누어 관리하는 기법입니다. 주기억장치(물리 메모리)와 가상 메모리를 동일한 크기의 페이지로 나누고, 페이지 단위로 매핑합니다&#8203;:contentReference[oaicite:12]{index=12}. 프로세스 주소 공간을 일정한 크기로 쪼개 배치하므로 외부 단편화가 발생하지 않지만, 마지막 페이지에 남는 여유 공간은 **내부 단편화**가 생길 수 있습니다. 주소 변환을 위해 **페이지 테이블**을 사용하며, MMU가 논리주소(페이지번호+오프셋)를 물리주소(프레임번호+오프셋)로 바꿉니다.
- **세그멘테이션**: 가변 크기의 의미있는 **세그먼트(segment)** 단위로 메모리를 관리하는 기법입니다&#8203;:contentReference[oaicite:13]{index=13}. 코드, 데이터, 스택 등 논리적인 구분에 따라 메모리를 분할하며 각 세그먼트는 크기가 다를 수 있습니다. 세그먼트 별로 **세그먼트 테이블**이 있어 (세그먼트 번호 → 베이스 주소, 한계(limit)) 매핑합니다. 세그멘테이션은 프로그래머에게 익숙한 논리 단위로 관리하므로 **내부 단편화는 적지만 외부 단편화**가 발생할 수 있습니다.

요약하면, 페이징은 **고정 크기 블록**으로 나누는 하드웨어 중심 기법이고, 세그멘테이션은 **가변 크기 영역**으로 나누는 논리적 기법입니다. 실제 시스템에서는 두 방식을 조합한 **페이징된 세그멘테이션**도 사용합니다."
q7,"뮤텍스(Mutex)와 세마포어(Semaphore)는 무엇이고, 둘의 차이는?",OS,"뮤텍스와 세마포어는 둘 다 **동기화(synchronization)** 기법으로, **공유 자원에 대한 접근을 통제**하는 데 사용됩니다. 
- **세마포어(Semaphore)**: 정수 값을 통해 임계 구역에 들어갈 수 있는 **최대 동시 접근자 수**를 제어하는 동기화 도구입니다&#8203;:contentReference[oaicite:14]{index=14}. 세마포어에는 일반적으로 P(wait) 연산으로 값을 감소시키고 V(signal) 연산으로 값을 증가시켜 자원 사용을 관리합니다. 세마포어 값이 0이면 더 이상의 접근은 대기하게 됩니다. **이진 세마포어(binary semaphore)**는 값이 0 또는 1로서 뮤텍스처럼 동작하고, **계수 세마포어(counting semaphore)**는 임계 영역에 들어갈 수 있는 스레드 수를 여러 개로 허용합니다.
- **뮤텍스(Mutex)**: Mutual Exclusion의 줄임말로, **상호 배타** 락이라고도 합니다. 뮤텍스는 오직 **한 스레드만** 임계 영역을 점유하도록 하는 **잠금(lock)** 개체입니다&#8203;:contentReference[oaicite:15]{index=15}. 한 스레드가 뮤텍스를 획득하면 (lock) 다른 스레드는 해당 뮤텍스를 해제(unlock)할 때까지 기다려야 합니다. 소유권이 있으며, 뮤텍스를 획득한 스레드만이 이를 해제할 수 있다는 특징이 있습니다.

**차이점**: 뮤텍스는 **상호배제를 위한 락**으로, 동시에 1개 쓰레드만 자원 사용 가능하고 소유권이 있습니다. 세마포어는 **계수기**로, 여러 쓰레드가 자원을 **지정된 최대치까지 동시 사용**할 수 있고 소유권은 없습니다&#8203;:contentReference[oaicite:16]{index=16}. 또한 세마포어는 뮤텍스처럼 사용하여 1로 쓰면 상호배제를 구현할 수도 있지만, 일반적으로 둘 이상의 동시 접근을 관리할 때 세마포어를 사용합니다."
q8,컨텍스트 스위칭(Context Switching)이란 무엇인가요?,OS,"컨텍스트 스위칭이란 CPU가 한 프로세스(또는 스레드)의 실행 상태를 저장하고, 다른 프로세스의 상태를 불러와 실행을 전환하는 과정을 말합니다&#8203;:contentReference[oaicite:17]{index=17}. 이 때 저장되는 프로세스의 문맥(context)에는 **레지스터 값, 프로그램 카운터, 메모리 관리 정보** 등 CPU 실행에 필요한 상태가 포함되며, 일반적으로 프로세스의 PCB(Process Control Block)에 이 정보가 저장됩니다&#8203;:contentReference[oaicite:18]{index=18}.

컨텍스트 스위칭은 **멀티태스킹 운영체제**에서 CPU를 공유하는 핵심 메커니즘입니다. CPU가 한 시점에 하나의 프로세스만 실행할 수 있으므로, 짧은 시간동안 여러 프로세스를 번갈아 가며 실행하기 위해 컨텍스트 스위칭이 발생합니다. 스케줄러가 일정 시간(타임 슬라이스)마다 혹은 I/O 대기 등 이벤트 시점에 CPU를 다음 프로세스로 넘겨줄 때 현재 문맥을 PCB에 저장하고 다음 프로세스의 문맥을 복원합니다.

컨텍스트 스위칭에는 오버헤드(추가 작업 부하)가 있습니다. 전환 동안에는 유용한 작업을 하지 못하고, 캐시 메모리도 새 프로세스 것으로 채워야 하므로 빈번한 컨텍스트 스위칭은 성능 저하를 가져옵니다. 따라서 운영체제는 작업 특성에 맞게 **스케줄링 알고리즘**을 활용해 컨텍스트 스위칭 빈도를 최적화합니다."
q9,fork()와 vfork()의 차이는 무엇인가요?,OS,"Unix 계열 시스템에서 **fork()**와 **vfork()**는 새로운 프로세스를 생성하는 시스템 호출입니다. 
- **fork()**: 현재 프로세스를 복제하여 자식 프로세스를 만드는 일반적인 시스템 콜입니다. **부모 프로세스의 메모리 공간 전체를 복사**(copy-on-write 기법으로 실제로는 필요 시 복사)하여 자식을 생성하므로, 호출 후 부모와 자식이 각각 동일한 코드로 독립적으로 실행됩니다. 복사 비용이 있지만 부모와 자식이 메모리를 완전히 분리해 동작합니다.
- **vfork()**: **가상 메모리를 포크하지 않고** 부모 프로세스의 주소 공간을 **공유**하여 프로세스를 생성합니다&#8203;:contentReference[oaicite:19]{index=19}. 즉 메모리 복사 없이 자식을 만들지만, 자식은 독립된 주소공간이 없으므로 **부모가 가진 메모리를 그대로 사용**합니다. 이 때문에 자식이 **execve**로 새로운 프로그램을 실행하거나 **exit**하기 전까지 부모를 일시 정지시켜 둘이 충돌하지 않도록 합니다&#8203;:contentReference[oaicite:20]{index=20}. vfork()는 fork()보다 가볍고 빠르지만 동시에 실행되는 것을 제한하는 제약이 있습니다.

요약하면, **fork()는 메모리 복사**를 수반하여 독립적인 부모/자식을 만들고, **vfork()는 메모리 공유**로 빠르게 자식을 만들지만 부모가 자식 완료까지 블록됩니다. 현대 리눅스에서는 fork()가 내부적으로 copy-on-write를 사용해 효율적이라 vfork()는 잘 쓰지 않습니다."
q10,Race Condition(경쟁 상태)이란 무엇인가요?,OS,"Race Condition(경쟁 상태)이란 **둘 이상의 프로세스(또는 스레드)가 공유 자원에 동시에 접근하여, 실행 **순서**에 따라 결과가 달라질 수 있는 상황**을 의미합니다&#8203;:contentReference[oaicite:21]{index=21}. 즉, 올바른 실행을 보장하려면 한 시점에 하나만 자원에 접근해야 하는데, 그렇지 않으면 예상치 못한 동작이나 오류가 발생하는 상태입니다.

예를 들어 두 스레드가 동일한 변수에 값을 쓰는 연산을 수행할 때, 실행 순서에 따라 최종 결과가 달라진다면 이는 전형적인 race condition입니다. 이러한 상황에서는 **상호 배타적 제어**가 필요합니다. 

Race condition을 방지하기 위해 **뮤텍스, 세마포어, 모니터와 같은 동기화 도구**를 사용하여 한 번에 하나의 스레드만 임계 구역에 들어가도록 합니다. 또 다른 방법으로 **원자적 연산(atomic operation)**이나 **메모리 배리어** 등을 활용해 동시에 접근해도 논리적 문제가 없도록 설계할 수도 있습니다. 

정리하면, 경쟁 상태는 **공유 상태를 갖는 병행 작업**에서 발생하는 문제로, 이를 해결하려면 **임계 구역 보호와 실행 순서 제어**가 필수입니다."
